Symbol,Open,High,Low,Close
IBM,146.6100,146.6250,146.5600,146.5600
IBM,146.5900,146.6300,146.5900,146.6050
IBM,146.5950,146.6200,146.5800,146.5850
IBM,146.5800,146.6200,146.5450,146.6000
IBM,146.4800,146.5900,146.4800,146.5900
IBM,146.5300,146.5720,146.4600,146.4800
IBM,146.4800,146.5300,146.4800,146.5300
IBM,146.5000,146.5000,146.4700,146.4950
IBM,146.5100,146.5100,146.4800,146.5000
IBM,146.5000,146.5300,146.5000,146.5300
IBM,146.5300,146.5500,146.5000,146.5000
IBM,146.5200,146.5200,146.5000,146.5200
IBM,146.5550,146.5600,146.5200,146.5220
IBM,146.5600,146.5700,146.5500,146.5500
IBM,146.5550,146.5700,146.5410,146.5410
IBM,146.5600,146.5700,146.5200,146.5700
IBM,146.5300,146.5900,146.5300,146.5750
IBM,146.5000,146.5500,146.5000,146.5500
IBM,146.5150,146.5300,146.4900,146.5000
IBM,146.5300,146.5400,146.5100,146.5200
IBM,146.5000,146.5200,146.4980,146.5200
IBM,146.5100,146.5100,146.4800,146.4900
IBM,146.5700,146.5700,146.4900,146.5100
IBM,146.5400,146.6300,146.5300,146.6200
IBM,146.6050,146.6050,146.5450,146.5450
IBM,146.6200,146.6300,146.6000,146.6100
IBM,146.5970,146.6400,146.5750,146.6400
IBM,146.6200,146.6200,146.5600,146.5800
IBM,146.5700,146.6290,146.5640,146.6290
IBM,146.6340,146.6340,146.5850,146.5850
IBM,146.5400,146.6000,146.5300,146.6000
IBM,146.5300,146.5800,146.5300,146.5550
IBM,146.4500,146.5300,146.4300,146.5300
IBM,146.4400,146.4700,146.4300,146.4700
IBM,146.4400,146.4600,146.4400,146.4600
IBM,146.4440,146.4800,146.4300,146.4300
IBM,146.4150,146.4400,146.4050,146.4400
IBM,146.4000,146.4180,146.3900,146.4150
IBM,146.3900,146.4000,146.3800,146.4000
IBM,146.3910,146.4100,146.3910,146.4000
IBM,146.3910,146.4150,146.3900,146.4050
IBM,146.3900,146.4350,146.3900,146.4150
IBM,146.3800,146.3810,146.3500,146.3800
IBM,146.4100,146.4100,146.3400,146.3650
IBM,146.4000,146.4400,146.4000,146.4400
IBM,146.3750,146.4400,146.3750,146.4200
IBM,146.3900,146.4000,146.3800,146.3950
IBM,146.3750,146.3800,146.3460,146.3770
IBM,146.3500,146.3900,146.3500,146.3700
IBM,146.3900,146.3900,146.3450,146.3450
IBM,146.3890,146.4300,146.3800,146.4080
IBM,146.3750,146.3880,146.3600,146.3860
IBM,146.3200,146.3750,146.3200,146.3750
IBM,146.3400,146.3400,146.3100,146.3250
IBM,146.3400,146.3700,146.3400,146.3700
IBM,146.3600,146.3600,146.3100,146.3300
IBM,146.3400,146.3700,146.3300,146.3700
IBM,146.3200,146.3500,146.3100,146.3400
IBM,146.3450,146.3450,146.3200,146.3300
IBM,146.4000,146.4000,146.3300,146.3700
IBM,146.4200,146.4400,146.4200,146.4200
IBM,146.4800,146.4800,146.4000,146.4150
IBM,146.4160,146.4800,146.3900,146.4800
IBM,146.4300,146.4400,146.4100,146.4400
IBM,146.3900,146.4200,146.3550,146.4200
IBM,146.4250,146.4500,146.3800,146.3900
IBM,146.4000,146.4200,146.4000,146.4200
IBM,146.3900,146.4300,146.3900,146.4200
IBM,146.4100,146.4100,146.3600,146.3800
IBM,146.3900,146.4400,146.3800,146.4100
IBM,146.3600,146.4200,146.3500,146.4000
IBM,146.3700,146.3850,146.3410,146.3410
IBM,146.3600,146.3600,146.3500,146.3500
IBM,146.2450,146.3700,146.2450,146.3700
IBM,146.3450,146.3500,146.2300,146.2450
IBM,146.3410,146.3410,146.3000,146.3200
IBM,146.3200,146.3300,146.2700,146.3300
IBM,146.2750,146.3150,146.2750,146.3000
IBM,146.2600,146.2710,146.2520,146.2520
IBM,146.2300,146.2680,146.2200,146.2550
IBM,146.3900,146.3900,146.2100,146.2550
IBM,146.4100,146.4100,146.3850,146.4000
IBM,146.4470,146.4500,146.4250,146.4250
IBM,146.3700,146.4700,146.3700,146.4300
IBM,146.3960,146.4190,146.3700,146.3700
IBM,146.3700,146.4300,146.3100,146.3900
IBM,146.4650,146.4650,146.4000,146.4200
IBM,146.4680,146.5000,146.4600,146.4600
IBM,146.5100,146.5500,146.4800,146.4860
IBM,146.4950,146.5500,146.4900,146.4900
IBM,146.4100,146.4750,146.3900,146.4750
IBM,146.4400,146.4400,146.4100,146.4100
IBM,146.4400,146.5200,146.4300,146.4500
IBM,146.4200,146.4400,146.3800,146.4400
IBM,146.4100,146.4300,146.4000,146.4150
IBM,146.4300,146.4400,146.4090,146.4100
IBM,146.4000,146.4600,146.3600,146.4300
IBM,146.4000,146.4200,146.4000,146.4100
IBM,146.3600,146.4300,146.3500,146.3900
IBM,146.4020,146.4300,146.3400,146.3510
IBM,146.3400,146.4200,146.3400,146.3700
IBM,146.3200,146.3300,146.3000,146.3300
IBM,146.3800,146.4000,146.3100,146.3400
IBM,146.4100,146.4250,146.4000,146.4100
IBM,146.3070,146.4050,146.3070,146.4050
IBM,146.2900,146.3200,146.2600,146.3100
IBM,146.3800,146.4150,146.2750,146.3000
IBM,146.3270,146.3900,146.3270,146.3800
IBM,146.3600,146.3700,146.3050,146.3300
IBM,146.3100,146.3800,146.3100,146.3700
IBM,146.2500,146.3550,146.2350,146.3000
IBM,146.2100,146.2600,146.2100,146.2500
IBM,146.2200,146.2850,146.1700,146.2100
IBM,146.2200,146.2200,146.2000,146.2200
IBM,146.2290,146.2400,146.2100,146.2100
IBM,146.2100,146.2300,146.1800,146.2300
IBM,146.1600,146.1700,146.1400,146.1500
IBM,146.1000,146.1700,146.0700,146.1500
IBM,146.0150,146.1000,146.0100,146.1000
IBM,145.9300,146.0400,145.9300,146.0200
IBM,145.8600,145.9300,145.8450,145.9300
IBM,145.8900,145.8900,145.8100,145.8200
IBM,145.9000,145.9100,145.9000,145.9000
IBM,145.8200,145.8800,145.8200,145.8800
IBM,145.8500,145.8600,145.7900,145.8300
IBM,145.8100,145.8800,145.8000,145.8600
IBM,145.8200,145.8200,145.8100,145.8100
IBM,145.7900,145.8500,145.7900,145.8400
IBM,145.7700,145.8000,145.7700,145.7700
IBM,145.8100,145.8200,145.7950,145.7950
IBM,145.7950,145.8400,145.7900,145.8100
IBM,145.8000,145.8550,145.8000,145.8300
IBM,145.8300,145.8400,145.8100,145.8100
IBM,145.8650,145.8650,145.8200,145.8300
IBM,145.8400,145.8400,145.7800,145.8300
IBM,145.8900,145.8900,145.8400,145.8500
IBM,145.9150,145.9500,145.8800,145.8900
IBM,145.9100,145.9700,145.9100,145.9300
IBM,145.8600,145.9200,145.8500,145.9050
IBM,145.9100,145.9100,145.8700,145.8900
IBM,145.9200,145.9200,145.9000,145.9100
IBM,146.0200,146.0250,145.9050,145.9200
IBM,146.0700,146.0800,146.0300,146.0300
IBM,146.1200,146.1200,146.0300,146.0600
IBM,146.0000,146.1300,145.9900,146.1190
IBM,146.0650,146.0800,146.0000,146.0000
IBM,146.1200,146.1300,146.0600,146.0600
IBM,146.1600,146.1600,146.0900,146.1200
IBM,146.1800,146.2000,146.1420,146.1800
IBM,146.2400,146.2500,146.1700,146.1700
IBM,146.2800,146.2800,146.2050,146.2300
IBM,146.3600,146.3700,146.2850,146.2850
IBM,146.4340,146.4500,146.3600,146.3600
IBM,146.4720,146.4800,146.4500,146.4600
IBM,146.5050,146.5050,146.4650,146.4700
IBM,146.5000,146.5300,146.4890,146.5000
IBM,146.4700,146.4900,146.4550,146.4900
IBM,146.5200,146.5300,146.5000,146.5100
IBM,146.4650,146.5300,146.4650,146.5200
IBM,146.4850,146.4850,146.4530,146.4730
IBM,146.5200,146.5600,146.4800,146.5100
IBM,146.4500,146.5000,146.4500,146.5000
IBM,146.4600,146.4600,146.4450,146.4500
IBM,146.4500,146.4700,146.4200,146.4700
IBM,146.4700,146.4900,146.4300,146.4400
IBM,146.3500,146.4650,146.3500,146.4650
IBM,146.3990,146.3990,146.3250,146.3500
IBM,146.3900,146.4100,146.3700,146.4100
IBM,146.3400,146.4000,146.3250,146.4000
IBM,146.3700,146.4100,146.3510,146.3510
IBM,146.4500,146.4550,146.3600,146.3800
IBM,146.4000,146.4600,146.3900,146.4500
IBM,146.4500,146.4500,146.4000,146.4100
IBM,146.3700,146.4800,146.3700,146.4400
IBM,146.3600,146.3700,146.3450,146.3700
IBM,146.3600,146.3600,146.3340,146.3600
IBM,146.2850,146.3600,146.2850,146.3400
IBM,146.2980,146.3500,146.2980,146.3000
IBM,146.3200,146.3500,146.2700,146.3050
IBM,146.2150,146.3290,146.2100,146.3250
IBM,146.2000,146.2300,146.2000,146.2150
IBM,146.2400,146.2710,146.2100,146.2200
IBM,146.3000,146.3400,146.2770,146.2780
IBM,146.3860,146.3860,146.2000,146.2850
IBM,146.4700,146.4800,146.3800,146.3800
IBM,146.4900,146.5300,146.4700,146.4800
IBM,146.4700,146.4850,146.4600,146.4800
IBM,146.4600,146.4700,146.4600,146.4700
IBM,146.5300,146.5300,146.4320,146.4700
IBM,146.5760,146.5800,146.5300,146.5300
IBM,146.6500,146.6500,146.5500,146.5500
IBM,146.6000,146.6500,146.6000,146.6500
IBM,146.6200,146.6500,146.5900,146.6100
IBM,146.6200,146.6600,146.5900,146.6200
IBM,146.6100,146.6400,146.5850,146.6200
IBM,146.6100,146.6200,146.5800,146.6200
IBM,146.6600,146.6700,146.5800,146.5800
IBM,146.7100,146.7520,146.6100,146.6900
IBM,146.7800,146.8270,146.7100,146.7150
IBM,146.7100,146.7730,146.7100,146.7550
IBM,146.7100,146.7500,146.6600,146.6900
IBM,146.7000,146.7100,146.6700,146.7000
IBM,146.6500,146.6900,146.6500,146.6900
IBM,146.6100,146.6400,146.5700,146.6200
IBM,146.6000,146.6400,146.5800,146.5850
IBM,146.6600,146.6900,146.6000,146.6100
IBM,146.6400,146.6700,146.6100,146.6600
IBM,146.7200,146.7300,146.6700,146.6700
IBM,146.6950,146.7300,146.6800,146.6900
IBM,146.6000,146.7190,146.6000,146.7070
IBM,146.5650,146.6100,146.5650,146.6000
IBM,146.5400,146.5730,146.5400,146.5700
IBM,146.5700,146.6100,146.5600,146.5700
IBM,146.6270,146.6500,146.5800,146.5800
IBM,146.5900,146.6500,146.5900,146.6300
IBM,146.5400,146.5700,146.5400,146.5700
IBM,146.5200,146.5400,146.4900,146.5200
IBM,146.5200,146.5300,146.4800,146.5000
IBM,146.4880,146.5000,146.4700,146.5000
IBM,146.5900,146.5900,146.4900,146.5100
IBM,146.5550,146.6100,146.5300,146.5750
IBM,146.6400,146.6800,146.5600,146.5800
IBM,146.6150,146.7200,146.6150,146.6200
IBM,146.6000,146.6400,146.5650,146.5900
IBM,146.4800,146.6000,146.4800,146.6000
IBM,146.5000,146.5450,146.4900,146.5100
IBM,146.4560,146.5000,146.4350,146.4750
IBM,146.4500,146.4700,146.4000,146.4400
IBM,146.4000,146.4600,146.4000,146.4500
IBM,146.4700,146.5050,146.3700,146.3700
IBM,146.4550,146.4600,146.3700,146.4600
IBM,146.5400,146.5700,146.4400,146.4400
IBM,146.6000,146.6000,146.4800,146.5400
IBM,146.5100,146.6100,146.5100,146.6100
IBM,146.5000,146.5300,146.4800,146.5140
IBM,146.5400,146.5650,146.4660,146.4900
IBM,146.5300,146.6000,146.5300,146.5510
IBM,146.5100,146.5900,146.4900,146.5450
